store,store_type,date,hour,persona,passers,enters
零食店-长沙银杉路店,零食店,2026-03-27,0,家庭主妇,13,0
零食店-长沙银杉路店,零食店,2026-03-27,0,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-27,0,中青年,25,0
零食店-长沙银杉路店,零食店,2026-03-27,0,上班族,13,0
零食店-长沙银杉路店,零食店,2026-03-27,0,学生,0,0
零食店-长沙银杉路店,零食店,2026-03-27,1,家庭主妇,6,0
零食店-长沙银杉路店,零食店,2026-03-27,1,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-27,1,中青年,3,0
零食店-长沙银杉路店,零食店,2026-03-27,1,上班族,9,0
零食店-长沙银杉路店,零食店,2026-03-27,1,学生,0,0
零食店-长沙银杉路店,零食店,2026-03-27,2,家庭主妇,6,0
零食店-长沙银杉路店,零食店,2026-03-27,2,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-27,2,中青年,12,0
零食店-长沙银杉路店,零食店,2026-03-27,2,上班族,4,0
零食店-长沙银杉路店,零食店,2026-03-27,2,学生,0,0
零食店-长沙银杉路店,零食店,2026-03-27,3,家庭主妇,0,0
零食店-长沙银杉路店,零食店,2026-03-27,3,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-27,3,中青年,9,0
零食店-长沙银杉路店,零食店,2026-03-27,3,上班族,0,0
零食店-长沙银杉路店,零食店,2026-03-27,3,学生,0,0
零食店-长沙银杉路店,零食店,2026-03-27,4,家庭主妇,2,0
零食店-长沙银杉路店,零食店,2026-03-27,4,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-27,4,中青年,2,0
零食店-长沙银杉路店,零食店,2026-03-27,4,上班族,2,0
零食店-长沙银杉路店,零食店,2026-03-27,4,学生,0,0
零食店-长沙银杉路店,零食店,2026-03-27,5,家庭主妇,0,0
零食店-长沙银杉路店,零食店,2026-03-27,5,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-27,5,中青年,5,0
零食店-长沙银杉路店,零食店,2026-03-27,5,上班族,3,0
零食店-长沙银杉路店,零食店,2026-03-27,5,学生,0,0
零食店-长沙银杉路店,零食店,2026-03-27,6,家庭主妇,24,0
零食店-长沙银杉路店,零食店,2026-03-27,6,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-27,6,中青年,36,0
零食店-长沙银杉路店,零食店,2026-03-27,6,上班族,12,0
零食店-长沙银杉路店,零食店,2026-03-27,6,学生,0,0
零食店-长沙银杉路店,零食店,2026-03-27,7,家庭主妇,61,1
零食店-长沙银杉路店,零食店,2026-03-27,7,退休老人,0,1
零食店-长沙银杉路店,零食店,2026-03-27,7,中青年,79,2
零食店-长沙银杉路店,零食店,2026-03-27,7,上班族,306,6
零食店-长沙银杉路店,零食店,2026-03-27,7,学生,0,4
零食店-长沙银杉路店,零食店,2026-03-27,8,家庭主妇,224,6
零食店-长沙银杉路店,零食店,2026-03-27,8,退休老人,0,2
零食店-长沙银杉路店,零食店,2026-03-27,8,中青年,158,5
零食店-长沙银杉路店,零食店,2026-03-27,8,上班族,376,12
零食店-长沙银杉路店,零食店,2026-03-27,8,学生,0,2
零食店-长沙银杉路店,零食店,2026-03-27,9,家庭主妇,152,11
零食店-长沙银杉路店,零食店,2026-03-27,9,退休老人,6,1
零食店-长沙银杉路店,零食店,2026-03-27,9,中青年,208,12
零食店-长沙银杉路店,零食店,2026-03-27,9,上班族,93,6
零食店-长沙银杉路店,零食店,2026-03-27,9,学生,0,5
零食店-长沙银杉路店,零食店,2026-03-27,10,家庭主妇,124,6
零食店-长沙银杉路店,零食店,2026-03-27,10,退休老人,10,1
零食店-长沙银杉路店,零食店,2026-03-27,10,中青年,170,5
零食店-长沙银杉路店,零食店,2026-03-27,10,上班族,48,3
零食店-长沙银杉路店,零食店,2026-03-27,10,学生,4,3
零食店-长沙银杉路店,零食店,2026-03-27,11,家庭主妇,69,5
零食店-长沙银杉路店,零食店,2026-03-27,11,退休老人,8,1
零食店-长沙银杉路店,零食店,2026-03-27,11,中青年,114,4
零食店-长沙银杉路店,零食店,2026-03-27,11,上班族,223,6
零食店-长沙银杉路店,零食店,2026-03-27,11,学生,0,4
零食店-长沙银杉路店,零食店,2026-03-27,12,家庭主妇,54,0
零食店-长沙银杉路店,零食店,2026-03-27,12,退休老人,0,1
零食店-长沙银杉路店,零食店,2026-03-27,12,中青年,50,3
零食店-长沙银杉路店,零食店,2026-03-27,12,上班族,368,12
零食店-长沙银杉路店,零食店,2026-03-27,12,学生,0,2
零食店-长沙银杉路店,零食店,2026-03-27,13,家庭主妇,207,9
零食店-长沙银杉路店,零食店,2026-03-27,13,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-27,13,中青年,180,3
零食店-长沙银杉路店,零食店,2026-03-27,13,上班族,88,6
零食店-长沙银杉路店,零食店,2026-03-27,13,学生,0,3
零食店-长沙银杉路店,零食店,2026-03-27,14,家庭主妇,109,9
零食店-长沙银杉路店,零食店,2026-03-27,14,退休老人,1,3
零食店-长沙银杉路店,零食店,2026-03-27,14,中青年,152,8
零食店-长沙银杉路店,零食店,2026-03-27,14,上班族,63,3
零食店-长沙银杉路店,零食店,2026-03-27,14,学生,0,4
零食店-长沙银杉路店,零食店,2026-03-27,15,家庭主妇,160,10
零食店-长沙银杉路店,零食店,2026-03-27,15,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-27,15,中青年,135,12
零食店-长沙银杉路店,零食店,2026-03-27,15,上班族,73,4
零食店-长沙银杉路店,零食店,2026-03-27,15,学生,1,6
零食店-长沙银杉路店,零食店,2026-03-27,16,家庭主妇,210,10
零食店-长沙银杉路店,零食店,2026-03-27,16,退休老人,7,2
零食店-长沙银杉路店,零食店,2026-03-27,16,中青年,206,9
零食店-长沙银杉路店,零食店,2026-03-27,16,上班族,74,6
零食店-长沙银杉路店,零食店,2026-03-27,16,学生,1,7
零食店-长沙银杉路店,零食店,2026-03-27,17,家庭主妇,232,9
零食店-长沙银杉路店,零食店,2026-03-27,17,退休老人,0,3
零食店-长沙银杉路店,零食店,2026-03-27,17,中青年,180,9
零食店-长沙银杉路店,零食店,2026-03-27,17,上班族,505,28
零食店-长沙银杉路店,零食店,2026-03-27,17,学生,0,13
零食店-长沙银杉路店,零食店,2026-03-27,18,家庭主妇,195,12
零食店-长沙银杉路店,零食店,2026-03-27,18,退休老人,0,6
零食店-长沙银杉路店,零食店,2026-03-27,18,中青年,98,5
零食店-长沙银杉路店,零食店,2026-03-27,18,上班族,1152,42
零食店-长沙银杉路店,零食店,2026-03-27,18,学生,0,8
零食店-长沙银杉路店,零食店,2026-03-27,19,家庭主妇,484,29
零食店-长沙银杉路店,零食店,2026-03-27,19,退休老人,3,7
零食店-长沙银杉路店,零食店,2026-03-27,19,中青年,269,20
零食店-长沙银杉路店,零食店,2026-03-27,19,上班族,181,17
零食店-长沙银杉路店,零食店,2026-03-27,19,学生,0,19
零食店-长沙银杉路店,零食店,2026-03-27,20,家庭主妇,197,26
零食店-长沙银杉路店,零食店,2026-03-27,20,退休老人,3,3
零食店-长沙银杉路店,零食店,2026-03-27,20,中青年,144,17
零食店-长沙银杉路店,零食店,2026-03-27,20,上班族,79,11
零食店-长沙银杉路店,零食店,2026-03-27,20,学生,5,12
零食店-长沙银杉路店,零食店,2026-03-27,21,家庭主妇,144,14
零食店-长沙银杉路店,零食店,2026-03-27,21,退休老人,2,2
零食店-长沙银杉路店,零食店,2026-03-27,21,中青年,98,18
零食店-长沙银杉路店,零食店,2026-03-27,21,上班族,54,9
零食店-长沙银杉路店,零食店,2026-03-27,21,学生,3,9
零食店-长沙银杉路店,零食店,2026-03-27,22,家庭主妇,95,6
零食店-长沙银杉路店,零食店,2026-03-27,22,退休老人,0,1
零食店-长沙银杉路店,零食店,2026-03-27,22,中青年,70,9
零食店-长沙银杉路店,零食店,2026-03-27,22,上班族,39,6
零食店-长沙银杉路店,零食店,2026-03-27,22,学生,1,5
零食店-长沙银杉路店,零食店,2026-03-27,23,家庭主妇,0,0
零食店-长沙银杉路店,零食店,2026-03-27,23,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-27,23,中青年,0,0
零食店-长沙银杉路店,零食店,2026-03-27,23,上班族,0,0
零食店-长沙银杉路店,零食店,2026-03-27,23,学生,0,0
零食店-长沙银杉路店,零食店,2026-03-28,0,家庭主妇,11,0
零食店-长沙银杉路店,零食店,2026-03-28,0,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-28,0,中青年,13,0
零食店-长沙银杉路店,零食店,2026-03-28,0,上班族,7,0
零食店-长沙银杉路店,零食店,2026-03-28,0,学生,0,0
零食店-长沙银杉路店,零食店,2026-03-28,1,家庭主妇,0,0
零食店-长沙银杉路店,零食店,2026-03-28,1,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-28,1,中青年,8,0
零食店-长沙银杉路店,零食店,2026-03-28,1,上班族,9,0
零食店-长沙银杉路店,零食店,2026-03-28,1,学生,0,0
零食店-长沙银杉路店,零食店,2026-03-28,2,家庭主妇,5,0
零食店-长沙银杉路店,零食店,2026-03-28,2,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-28,2,中青年,2,0
零食店-长沙银杉路店,零食店,2026-03-28,2,上班族,0,0
零食店-长沙银杉路店,零食店,2026-03-28,2,学生,0,0
零食店-长沙银杉路店,零食店,2026-03-28,3,家庭主妇,5,0
零食店-长沙银杉路店,零食店,2026-03-28,3,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-28,3,中青年,5,0
零食店-长沙银杉路店,零食店,2026-03-28,3,上班族,2,0
零食店-长沙银杉路店,零食店,2026-03-28,3,学生,0,0
零食店-长沙银杉路店,零食店,2026-03-28,4,家庭主妇,1,0
零食店-长沙银杉路店,零食店,2026-03-28,4,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-28,4,中青年,2,0
零食店-长沙银杉路店,零食店,2026-03-28,4,上班族,0,0
零食店-长沙银杉路店,零食店,2026-03-28,4,学生,0,0
零食店-长沙银杉路店,零食店,2026-03-28,5,家庭主妇,0,0
零食店-长沙银杉路店,零食店,2026-03-28,5,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-28,5,中青年,2,0
零食店-长沙银杉路店,零食店,2026-03-28,5,上班族,0,0
零食店-长沙银杉路店,零食店,2026-03-28,5,学生,0,0
零食店-长沙银杉路店,零食店,2026-03-28,6,家庭主妇,13,0
零食店-长沙银杉路店,零食店,2026-03-28,6,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-28,6,中青年,26,0
零食店-长沙银杉路店,零食店,2026-03-28,6,上班族,3,0
零食店-长沙银杉路店,零食店,2026-03-28,6,学生,0,0
零食店-长沙银杉路店,零食店,2026-03-28,7,家庭主妇,35,1
零食店-长沙银杉路店,零食店,2026-03-28,7,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-28,7,中青年,14,1
零食店-长沙银杉路店,零食店,2026-03-28,7,上班族,76,3
零食店-长沙银杉路店,零食店,2026-03-28,7,学生,0,0
零食店-长沙银杉路店,零食店,2026-03-28,8,家庭主妇,55,6
零食店-长沙银杉路店,零食店,2026-03-28,8,退休老人,0,0
零食店-长沙银杉路店,零食店,2026-03-28,8,中青年,54,3
零食店-长沙银杉路店,零食店,2026-03-28,8,上班族,117,6
零食店-长沙银杉路店,零食店,2026-03-28,8,学生,0,1
零食店-长沙银杉路店,零食店,2026-03-28,9,家庭主妇,83,7
零食店-长沙银杉路店,零食店,2026-03-28,9,退休老人,5,1
零食店-长沙银杉路店,零食店,2026-03-28,9,中青年,105,7
零食店-长沙银杉路店,零食店,2026-03-28,9,上班族,60,4
零食店-长沙银杉路店,零食店,2026-03-28,9,学生,2,1
零食店-长沙银杉路店,零食店,2026-03-28,10,家庭主妇,102,10
零食店-长沙银杉路店,零食店,2026-03-28,10,退休老人,4,1
零食店-长沙银杉路店,零食店,2026-03-28,10,中青年,119,6
零食店-长沙银杉路店,零食店,2026-03-28,10,上班族,38,3
零食店-长沙银杉路店,零食店,2026-03-28,10,学生,9,13
零食店-长沙银杉路店,零食店,2026-03-28,11,家庭主妇,71,5
零食店-长沙银杉路店,零食店,2026-03-28,11,退休老人,8,3
零食店-长沙银杉路店,零食店,2026-03-28,11,中青年,55,3
零食店-长沙银杉路店,零食店,2026-03-28,11,上班族,148,5
零食店-长沙银杉路店,零食店,2026-03-28,11,学生,5,4
零食店-长沙银杉路店,零食店,2026-03-28,12,家庭主妇,36,4
零食店-长沙银杉路店,零食店,2026-03-28,12,退休老人,7,2
零食店-长沙银杉路店,零食店,2026-03-28,12,中青年,57,4
零食店-长沙银杉路店,零食店,2026-03-28,12,上班族,349,21
零食店-长沙银杉路店,零食店,2026-03-28,12,学生,0,8
零食店-长沙银杉路店,零食店,2026-03-28,13,家庭主妇,224,10
零食店-长沙银杉路店,零食店,2026-03-28,13,退休老人,4,4
零食店-长沙银杉路店,零食店,2026-03-28,13,中青年,197,8
零食店-长沙银杉路店,零食店,2026-03-28,13,上班族,112,5
零食店-长沙银杉路店,零食店,2026-03-28,13,学生,10,8
零食店-长沙银杉路店,零食店,2026-03-28,14,家庭主妇,268,21
零食店-长沙银杉路店,零食店,2026-03-28,14,退休老人,3,3
零食店-长沙银杉路店,零食店,2026-03-28,14,中青年,220,6
零食店-长沙银杉路店,零食店,2026-03-28,14,上班族,114,9
零食店-长沙银杉路店,零食店,2026-03-28,14,学生,4,22
零食店-长沙银杉路店,零食店,2026-03-28,15,家庭主妇,212,17
零食店-长沙银杉路店,零食店,2026-03-28,15,退休老人,7,2
零食店-长沙银杉路店,零食店,2026-03-28,15,中青年,234,14
零食店-长沙银杉路店,零食店,2026-03-28,15,上班族,164,9
零食店-长沙银杉路店,零食店,2026-03-28,15,学生,30,15
零食店-长沙银杉路店,零食店,2026-03-28,16,家庭主妇,296,15
零食店-长沙银杉路店,零食店,2026-03-28,16,退休老人,2,3
