store,store_type,date,hour,passers,enters
零食店-长沙银杉路店,零食店,2026-03-27,0,51,0
零食店-长沙银杉路店,零食店,2026-03-27,1,18,0
零食店-长沙银杉路店,零食店,2026-03-27,2,22,0
零食店-长沙银杉路店,零食店,2026-03-27,3,9,0
零食店-长沙银杉路店,零食店,2026-03-27,4,6,0
零食店-长沙银杉路店,零食店,2026-03-27,5,8,0
零食店-长沙银杉路店,零食店,2026-03-27,6,72,0
零食店-长沙银杉路店,零食店,2026-03-27,7,446,14
零食店-长沙银杉路店,零食店,2026-03-27,8,758,27
零食店-长沙银杉路店,零食店,2026-03-27,9,459,35
零食店-长沙银杉路店,零食店,2026-03-27,10,356,18
零食店-长沙银杉路店,零食店,2026-03-27,11,414,20
零食店-长沙银杉路店,零食店,2026-03-27,12,472,18
零食店-长沙银杉路店,零食店,2026-03-27,13,475,21
零食店-长沙银杉路店,零食店,2026-03-27,14,325,27
零食店-长沙银杉路店,零食店,2026-03-27,15,369,32
零食店-长沙银杉路店,零食店,2026-03-27,16,498,34
零食店-长沙银杉路店,零食店,2026-03-27,17,917,62
零食店-长沙银杉路店,零食店,2026-03-27,18,1445,73
零食店-长沙银杉路店,零食店,2026-03-27,19,937,92
零食店-长沙银杉路店,零食店,2026-03-27,20,428,69
零食店-长沙银杉路店,零食店,2026-03-27,21,301,52
零食店-长沙银杉路店,零食店,2026-03-27,22,205,27
零食店-长沙银杉路店,零食店,2026-03-27,23,0,0
零食店-长沙银杉路店,零食店,2026-03-28,0,31,0
零食店-长沙银杉路店,零食店,2026-03-28,1,17,0
零食店-长沙银杉路店,零食店,2026-03-28,2,7,0
零食店-长沙银杉路店,零食店,2026-03-28,3,12,0
零食店-长沙银杉路店,零食店,2026-03-28,4,3,0
零食店-长沙银杉路店,零食店,2026-03-28,5,2,0
零食店-长沙银杉路店,零食店,2026-03-28,6,42,0
零食店-长沙银杉路店,零食店,2026-03-28,7,125,5
零食店-长沙银杉路店,零食店,2026-03-28,8,226,16
零食店-长沙银杉路店,零食店,2026-03-28,9,255,20
零食店-长沙银杉路店,零食店,2026-03-28,10,272,33
零食店-长沙银杉路店,零食店,2026-03-28,11,287,20
零食店-长沙银杉路店,零食店,2026-03-28,12,449,39
零食店-长沙银杉路店,零食店,2026-03-28,13,547,35
零食店-长沙银杉路店,零食店,2026-03-28,14,609,61
零食店-长沙银杉路店,零食店,2026-03-28,15,647,57
零食店-长沙银杉路店,零食店,2026-03-28,16,832,51
零食店-长沙银杉路店,零食店,2026-03-28,17,882,91
零食店-长沙银杉路店,零食店,2026-03-28,18,995,58
零食店-长沙银杉路店,零食店,2026-03-28,19,972,96
零食店-长沙银杉路店,零食店,2026-03-28,20,772,72
零食店-长沙银杉路店,零食店,2026-03-28,21,575,88
零食店-长沙银杉路店,零食店,2026-03-28,22,328,48
零食店-长沙银杉路店,零食店,2026-03-28,23,0,0
零食店-长沙银杉路店,零食店,2026-03-29,0,32,0
零食店-长沙银杉路店,零食店,2026-03-29,1,15,0
零食店-长沙银杉路店,零食店,2026-03-29,2,13,0
零食店-长沙银杉路店,零食店,2026-03-29,3,6,0
